,name,num
0,盗窃罪 ,507299
1,危险驾驶罪 ,366880
2,故意伤害罪 ,250798
3,交通肇事罪 ,179590
4,容留他人吸毒罪 ,77238
5,诈骗罪 ,75432
6,寻衅滋事罪 ,63970
7,开设赌场罪 ,40834
8,抢劫罪 ,37959
9,信用卡诈骗罪 ,28302
10,非法持有毒品罪 ,27987
11,妨害公务罪 ,25744
12,非法拘禁罪 ,19939
13,赌博罪 ,16201
14,滥伐林木罪 ,15455
15,故意毁坏财物罪 ,14870
16,受贿罪 ,14438
17,贪污罪 ,14002
18,非法经营罪 ,13533
19,抢夺罪 ,12485
20,合同诈骗罪 ,12391
21,聚众斗殴罪 ,11839
22,职务侵占罪 ,10944
23,敲诈勒索罪 ,10838
24,故意杀人罪 ,10077
25,过失致人死亡罪 ,6706
26,非法吸收公众存款罪 ,6580
27,失火罪 ,6430
28,非法占用农用地罪 ,6128
29,行贿罪 ,5627
30,盗伐林木罪 ,5360
31,强奸罪 ,5331
32,放火罪 ,4903
33,挪用资金罪 ,4740
34,玩忽职守罪 ,4286
35,挪用公款罪 ,4259
36,非法行医罪 ,4015
37,假冒注册商标罪 ,3966
38,销售假冒注册商标的商品罪 ,3866
39,污染环境罪 ,3799
40,滥用职权罪 ,3654
41,拒不支付劳动报酬罪 ,3428
42,重大责任事故罪 ,3368
43,非国家工作人员受贿罪 ,2449
44,非法种植毒品原植物罪 ,2092
45,非法入侵住宅罪 ,1846
46,非法狩猎罪 ,1843
47,非法捕捞水产品罪 ,1795
48,单位行贿罪 ,1670
49,招摇撞骗罪 ,1629
50,妨害信用卡管理罪 ,1625
51,非法采矿罪 ,1593
52,刑事其他 ,1504
53,以危险方法危害公共安全罪 ,1350
54,重婚罪 ,1336
55,破坏生产经营罪 ,1320
56,虚开发票罪 ,1273
57,聚众扰乱社会秩序罪 ,1262
58,过失致人重伤罪 ,1219
59,绑架罪 ,1209
60,组织卖淫罪 ,1148
61,集资诈骗罪 ,1135
62,偷越国（边）境罪 ,1068
63,强迫交易罪 ,1066
64,侵犯著作权罪 ,988
65,保险诈骗罪 ,975
66,传播淫秽物品罪 ,961
67,破坏电力设备罪 ,894
68,侵犯公民个人信息罪 ,884
69,猥亵儿童罪 ,855
70,持有伪造的发票罪 ,838
71,重大劳动安全事故罪 ,684
72,协助组织卖淫罪 ,651
73,破坏易燃易爆设备罪 ,597
74,非法买卖制毒物品罪 ,563
75,投放危险物质罪 ,541
76,贷款诈骗罪 ,528
77,组织他人偷越国（边）境罪 ,428
78,诬告陷害罪 ,422
79,扰乱无线电通讯管理秩序罪 ,409
80,妨害作证罪 ,399
81,违法发放贷款罪 ,396
82,对非国家工作人员行贿罪 ,395
83,串通投标罪 ,357
84,票据诈骗罪 ,337
85,单位受贿罪 ,307
86,脱逃罪 ,306
87,运送他人偷越国（边）境罪 ,295
88,冒充军人招摇撞骗罪 ,282
89,私分国有资产罪 ,266
90,过失以危险方法危害公共安全罪 ,260
91,爆炸罪 ,252
92,伪证罪 ,251
93,介绍贿赂罪 ,250
94,非法进行节育手术罪 ,250
95,徇私枉法罪 ,249
96,侵占罪 ,248
97,破坏监管秩序罪 ,246
98,逃税罪 ,230
99,虚报注册资本罪 ,226
100,非法出售发票罪 ,205
101,拐骗儿童罪 ,193
102,遗弃罪 ,190
103,聚众冲击国家机关罪 ,187
104,非法组织卖血罪 ,179
105,非法获取国家秘密罪 ,172
106,强迫卖淫罪 ,169
107,动植物检疫徇私舞弊罪 ,169
108,破坏计算机信息系统罪 ,166
109,对单位行贿罪 ,160
110,帮助犯罪分子逃避处罚罪 ,149
111,巨额财产来源不明罪 ,117
112,破坏交通设施罪 ,114
113,组织淫秽表演罪 ,111
114,危险物品肇事罪 ,98
115,走私废物罪 ,96
116,徇私舞弊不移交刑事案件罪 ,91
117,侮辱罪 ,89
118,伪造货币罪 ,74
119,挪用特定款物罪 ,73
120,代替考试罪 ,71
121,强迫劳动罪 ,71
122,传播性病罪 ,70
123,利用影响力受贿罪 ,69
124,诽谤罪 ,68
125,聚众哄抢罪 ,63
126,组织考试作弊罪 ,61
127,过失投放危险物质罪 ,55
128,高利转贷罪 ,54
129,传授犯罪方法罪 ,53
130,包庇毒品犯罪分子罪 ,51
131,倒卖文物罪 ,47
132,食品监管渎职罪 ,47
133,强迫他人吸毒罪 ,45
134,虐待罪 ,41
135,骗取出口退税罪 ,37
136,金融凭证诈骗罪 ,36
137,打击报复证人罪 ,36
138,破坏交通工具罪 ,35
139,虐待被监管人罪 ,33
140,扰乱法庭秩序罪 ,31
141,侵犯商业秘密罪 ,28
142,失职致使在押人员脱逃罪 ,28
143,提供虚假证明文件罪 ,28
144,故意泄露国家秘密罪 ,28
145,虚假诉讼罪 ,28
146,骗取出境证件罪 ,24
147,环境监管失职罪 ,22
148,工程重大安全事故罪 ,21
149,洗钱罪 ,21
150,违法发放林木采伐许可证罪 ,20
151,非法出售增值税专用发票罪 ,20
152,医疗事故罪 ,20
153,过失损坏电力设备罪 ,19
154,消防责任事故罪 ,19
155,销售侵权复制品罪 ,18
156,故意损毁文物罪 ,18
157,投放虚假危险物质罪 ,18
158,出具证明文件重大失实罪 ,15
159,组织未成年人进行违反治安管理活动罪 ,15
160,出售出入境证件罪 ,14
161,扰乱国家机关工作秩序罪 ,13
162,聚众淫乱罪 ,13
163,非法侵入计算机信息系统罪 ,13
164,刑讯逼供罪 ,13
165,走私贵重金属罪 ,12
166,过失爆炸罪 ,12
167,教育设施重大安全事故罪 ,11
168,破坏军婚罪 ,11
169,逃避追缴欠税罪 ,10
170,信用证诈骗罪 ,10
171,走私制毒物品罪 ,10
172,组织出卖人体器官罪 ,10
173,劫夺被押解人员罪 ,10
174,有价证券诈骗罪 ,10
175,虚假广告罪 ,10
176,违规出具金融票证罪 ,10
177,私放在押人员罪 ,9
178,吸收客户资金不入账罪 ,9
179,危害公共安全罪 ,9
180,利用未公开信息交易罪 ,8
181,过失损毁文物罪 ,8
182,放纵走私罪 ,7
183,擅自设立金融机构罪 ,6
184,非法搜查罪 ,6
185,非法经营同类营业罪 ,6
186,非法利用信息网络罪 ,5
187,放纵制售伪劣商品犯罪行为罪 ,5
188,变造货币罪 ,5
189,过失损坏易燃易爆设备罪 ,5
190,破坏选举罪 ,5
191,为亲友非法牟利罪 ,5
192,阻碍军人执行职务罪 ,4
193,非法处置进口的固体废物罪 ,4
194,引诱幼女卖淫罪 ,4
195,走私淫秽物品罪 ,4
196,强令违章冒险作业罪 ,4
197,煽动分裂国家罪 ,4
198,帮助信息网络犯罪活动罪 ,4
199,非法低价出让国有土地使用权罪 ,4
200,骗购外汇罪 ,3
201,组织越狱罪 ,3
202,对有影响力的人行贿罪 ,3
203,假冒专利罪 ,3
204,颠覆国家政权罪 ,2
205,侵犯通信自由罪 ,2
206,传染病防治失职罪 ,2
207,煽动颠覆国家政权罪 ,2
208,过失损坏交通设施罪 ,2
209,引诱未成年人聚众淫乱罪 ,2
210,阻碍军事行动罪 ,2
211,煽动暴力抗拒法律实施罪 ,2
212,暴力取证罪 ,2
213,聚众扰乱军事管理区秩序罪 ,2
214,妨害清算罪 ,2
215,过失决水罪 ,2
216,组织播放淫秽音像制品罪 ,1
217,渎职罪 ,1
218,扰乱公共秩序罪 ,1
219,强迫卖血罪 ,1
220,走私假币罪 ,1
221,雇用童工从事危重劳动罪 ,1
222,隐瞒境外存款罪 ,1
223,过失泄露国家秘密罪 ,1
224,逃汇罪 ,1
225,嫖宿幼女罪 ,1
226,大型群众性活动重大安全事故罪 ,1
227,商检徇私舞弊罪 ,1
228,铁路运营安全事故罪 ,1
229,商检失职罪 ,1
230,办理偷越国（边）境人员出入境证件罪 ,1
231,破坏性采矿罪 ,1
